Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated
spoc-s01-s65-b0A-PC,FAINT,29336129,2933.01,EB,132.8716975,-47.7392117,132.871698038,-47.7392059554,12.525,0.006,2989.6362276611635,0.006923556,1.6363821939796548,0.0004119648,5.279604626083096,0.46635485,2383.869038654951,310.72556,"[8, 9, 35, 36, 62, 63]",found in faint-star QLP search; centroid offset near TIC 29336132 (Tmag~18.2) in SPOC multisector; retired as TFOP FP/NEB,4.09,0.08,1,1.6786999702453613,0.0733066,10.674548893874404,4.354529,2119.265136413755,6361.0,137.0,4767.186872905736,12.793624,False,5,5,5,5,5,5,5,2021-06-04 01:29:29.130501+00:00,2024-09-08 01:14:58.245000+00:00
qlp-s36-tois,FAINT,74881311,2918.01,PC,138.1382848,-46.4007441,138.138217021,-46.4007030761,13.289,0.006,2288.0406122,0.0033942,9.5680636,6.32e-05,3.982,0.281,9400.0,10.078,"[8, 9, 35, 36]",found in faint-star QLP search,4.57,NaN,1,0.99,NaN,9.53977,NaN,1041.0,6511.0,122.0,195.344,17.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:26.410570+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,29418536,2932.01,PC,133.0354973,-46.012181,133.035477489,-46.0121692787,12.64,0.007,2990.683404873085,0.0018213417,3.2569118,1.12e-05,3.689,0.215,5960.0,2.62798,"[8, 9, 35, 36, 62]",found in faint-star QLP search,4.01,0.08,1,2.1,0.08,15.9704,0.733603,1956.0,7320.0,135.1,2431.32,25.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:28.991859+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,103183399,2968.01,PC,156.5331682,-46.6219714,156.533167274,-46.6219807244,13.397,0.006,2304.3509499,0.0018086,0.7327757,2.2e-06,1.306,0.139,4490.0,6.12277,"[9, 10, 36]",found in faint-star QLP search; slight depth aperture correlation,NaN,NaN,1,NaN,NaN,NaN,NaN,1779.0,5195.1,244.4,1664.1,17.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:36.066117+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,29505837,2931.01,PC,133.2031191,-43.3538442,133.202995111,-43.3537886503,12.151,0.006,2996.6846410667035,0.0041936063,8.6681997,7.98e-05,5.864,0.912,3880.0,5.45793,"[8, 9, 35, 63]",found in faint-star QLP search,4.01,0.08,1,1.77,0.09,11.0832,0.710674,1312.0,6133.0,135.2,492.998,18.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:28.769259+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,30300445,2930.01,PC,133.9169247,-43.3992456,133.916867964,-43.3992021533,11.653,0.007,2297.4142758,0.0040363,7.2041454,4.54e-05,3.527,0.812,1970.0,4.42511,"[8, 9, 35, 36]",found in faint-star QLP search,3.91,0.08,1,2.34,0.1,10.8839,0.713033,1450.0,7176.0,143.4,735.576,17.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:28.535275+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,75744886,2917.01,PC,139.3366628,-46.1147462,139.336600859,-46.1147222819,13.07,0.006,2294.1200291,0.0017633,7.9018734,2.28e-05,3.18,0.346,16220.0,6.65789,"[8, 9, 35, 36]",found in faint-star QLP search; no Gaia astrometry; no stellar radius,NaN,NaN,1,NaN,NaN,NaN,NaN,808.0,4976.0,217.5,70.7874,33.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:26.271600+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,76663549,2916.01,PC,140.6831293,-45.0924153,140.683121464,-45.0923942388,13.108,0.006,2303.1286434,0.00092,3.9216762,6.4e-06,2.075,0.082,17400.0,6.89699,"[8, 9, 35, 36]",found in faint-star QLP search,4.63,NaN,1,0.96,NaN,13.1754,NaN,1182.0,6706.0,123.0,325.02,45.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:26.048875+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,89617284,2915.01,PC,127.4141561,-55.56075,127.414072927,-55.5607094947,12.525,0.006,2297.9722856,0.0017014,5.1304425,1.36e-05,2.399,0.382,7670.0,9.26266,"[8, 9, 10, 35, 36]",found in faint-star QLP search; no stellar radius,NaN,NaN,1,NaN,NaN,NaN,NaN,992.0,5003.8,178.7,160.972,33.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:25.861771+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,31975443,2929.01,PC,137.0578717,-43.5844993,137.057802548,-43.5844602132,13.213,0.006,2302.0351102,0.0026006,2.0391352,1.09e-05,2.1,0.183,19130.0,24.7973,"[8, 9, 35, 36]",found in faint-star QLP search,4.55,NaN,1,0.89,NaN,11.8618,NaN,1429.0,5773.0,122.0,693.385,12.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:28.390940+00:00,2024-08-22 15:41:09.420339+00:00
