target_id,tic_id,toi_number,source_mission,sector,ra_deg,dec_deg,ra_str,dec_str,tfopwg_disposition,stellar_teff_k,stellar_radius_rsun,stellar_tmag,stellar_distance_pc,planet_period_days_measured,transit_depth_ppm_measured,transit_duration_hours_measured,planet_radius_rearth,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
TIC_291555748,291555748,1018.01,TESS,69,111.716019,-50.266567,07h26m51.84s,-50d15m59.64s,FP,5889.0,2.0,10.6254,360.541,4.95912,7440.0,2.509,22.9123,673.55,1419.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_341420329,341420329,1019.01,TESS,22,120.147994,-54.878552,08h00m35.52s,-54d52m42.79s,PC,7645.0,1.56203,10.6348,399.544,5.2341008,20796.9416293,3.7078139,24.2931408,1453.6663847,1574.8381848,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_149603524,149603524,102.01,TESS,11,87.139821,-63.988329,05h48m33.56s,-63d59m17.98s,KP,6280.0,1.21,9.7109,175.631,4.4119378,15062.0,3.65,15.4706,653.252,1408.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_140706664,140706664,1020.01,TESS,12,128.381976,-43.828421,08h33m31.67s,-43d49m42.32s,FP,8734.2,,10.7173,906.827,3.28892,10518.9,3.793,,29832.6,3661.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_143994283,143994283,1021.01,TESS,31,119.30075,-42.999149,07h57m12.18s,-42d59m56.94s,FP,6022.6,1.22,10.5551,235.974,1.90879,618.482,1.909,3.34688,985.807,1561.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_47384844,47384844,1022.01,TESS,57,162.96491,-5.788708,10h51m51.58s,-05d47m19.35s,FA,6084.0,1.41,8.72924,120.666,3.09574,380.0,4.475,3.4262,18087.9,3230.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_238374636,238374636,1023.01,TESS,59,120.837688,-51.345626,08h03m21.05s,-51d20m44.25s,FP,5050.8,2.99,9.697,316.398,1.3214483,2180.0,3.435,21.8839,35623.2,3827.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_141482386,141482386,1024.01,TESS,35,86.820714,-72.422611,05h47m16.97s,-72d25m21.4s,FP,4709.0,7.61,10.0814,692.266,18.0157,610.0,2.524,21.644,7.64364,463.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_297967252,297967252,1025.01,TESS,33,142.521159,-51.517114,09h30m05.08s,-51d31m01.61s,PC,8598.7,,5.5324,129.838,9.6837921,4238.2399008,2.4006056,,3176.3106916,1914.698926,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_388624270,388624270,1026.01,TESS,9,125.434634,-51.759442,08h21m44.31s,-51d45m33.99s,FP,5690.0,0.853898,9.9138,105.677,14.2628757,913.2067174,6.9350494,2.4765813,153.2069421,980.3628831,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_20318757,20318757,1027.01,TESS,32,167.133275,-29.653135,11h08m31.99s,-29d39m11.29s,PC,4272.0,0.68,10.2103,56.3449,3.2834565,1558.0,1.537,2.87648,161.092,992.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_20318757,20318757,1027.02,TESS,59,167.133275,-29.653135,11h08m31.99s,-29d39m11.29s,PC,4272.0,0.68,10.2103,56.3449,11.02875,1694.0,2.715,2.76586,15.0463,548.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_20318757,20318757,1027.03,TESS,7,167.133275,-29.653135,11h08m31.99s,-29d39m11.29s,PC,4272.0,0.68,10.2103,56.3449,5.0113292,1210.0,1.024,2.52314,17.1793,567.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_447283466,447283466,1028.01,TESS,68,157.098337,-51.705409,10h28m23.6s,-51d42m19.47s,FP,4634.0,0.68,7.9059,23.7748,1.01606,240.0,2.843,1.20704,2784.04,2023.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_374908020,374908020,1029.01,TESS,18,88.73909,-65.958839,05h54m57.38s,-65d57m31.82s,FP,,,6.841,,36.22214,7170.0,5.107,,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_336732616,336732616,103.01,TESS,2,312.457488,-24.428694,20h49m49.8s,-24d25m43.3s,KP,6351.0,1.4,11.5232,411.211,3.547854,10424.3718,3.494333,14.581841,1212.004376,1504.858953,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_464296022,464296022,1030.01,TESS,17,155.831478,-57.590248,10h23m19.55s,-57d35m24.89s,FP,4807.6,1.07,9.5706,78.41273,12.1246519,7279.0,4.612,17.6729,207.32,1057.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
