tic_id,sector_run
2857009,59-59
2938831,43-43
2938831,44-44
2938831,45-45
2938831,59-59
2938831,73-73
2939367,43-43
2939367,44-44
2939367,45-45
2939367,59-59
2939367,73-73
2940839,43-43
2940839,44-44
2940839,45-45
2940839,59-59
2940839,73-73
2941693,43-43
2941693,45-45
2941693,59-59
2941693,73-73
2941914,43-43
2941914,44-44
2941914,45-45
2941914,59-59
2941914,71-71
2941914,73-73
2944024,19-19
2944024,43-43
2944024,44-44
2944024,45-45
2944024,59-59
2944024,71-71
2944024,73-73
2947282,19-19
3027681,43-43
3027681,44-44
3027681,45-45
3027681,71-71
3030327,71-71
3030327,73-73
3033448,19-19
3033448,43-43
3033448,44-44
3033448,45-45
3033448,71-71
3033448,73-73
3033448,59-59
3034524,19-19
3034524,43-43
3034524,44-44
3034524,45-45
3034524,59-59
3034524,71-71
3034524,73-73
3060481,8-8
3060481,9-9
3060481,35-35
3074122,54-54
3117647,19-19
3117647,43-43
3117647,44-44
3117647,45-45
3117647,59-59
3117647,71-71
3117647,73-73
3122647,35-35
3127674,8-8
3127674,9-9
3127674,35-35
3127674,36-36
3127674,62-62
3129778,8-8
3129778,35-35
3129778,36-36
3130636,8-8
3130636,9-9
3130636,35-35
3130636,36-36
3130636,62-62
3213430,43-43
3213430,45-45
3213430,44-44
3213430,19-19
3364732,43-43
3364732,44-44
3364732,45-45
3364732,59-59
3364732,71-71
3364732,73-73
3373344,43-43
3373344,45-45
3411281,39-39
3411281,65-65
3473481,54-54
3520950,35-35
3520950,36-36
3520950,62-62
3523858,8-8
3523858,9-9
3523858,35-35
3523858,62-62
3544318,19-19
3544318,43-43
3544318,44-44
3544318,45-45
3547397,19-19
3547397,43-43
3547397,44-44
3547397,45-45
3547397,71-71
3547397,72-72
3572937,43-43
3572937,44-44
3572937,45-45
3572937,59-59
3572937,73-73
3575810,44-44
3575810,45-45
3575810,46-46
3575810,47-47
3575810,71-71
3575810,72-72
3576081,44-44
3576081,45-45
3576081,46-46
3576081,47-47
3576081,71-71
3576081,72-72
3582508,9-9
3582508,8-8
3642637,44-44
3642637,45-45
3642637,46-46
3642637,47-47
3642637,71-71
3642637,72-72
3643171,44-44
3643171,45-45
3643171,46-46
3643171,47-47
3643171,71-71
3643171,72-72
3644468,46-46
3644468,47-47
3644468,71-71
3644468,72-72
3645940,44-44
3645940,45-45
3645940,46-46
3645940,47-47
3645940,72-72
3646548,45-45
3646548,46-46
3646548,47-47
3646548,71-71
3646548,72-72
3646548,44-44
3646882,44-44
3646882,45-45
3646882,46-46
3646882,47-47
3646882,71-71
3646882,72-72
3662432,44-44
3662432,45-45
3662432,46-46
3662432,47-47
3662432,71-71
3662432,72-72
3665102,44-44
3665102,45-45
3665102,46-46
3665517,44-44
3665517,45-45
3665517,46-46
3665517,47-47
3665517,71-71
3665517,72-72
3666425,44-44
3666425,45-45
3666425,46-46
3666425,47-47
3666425,71-71
3666425,72-72
3684655,35-35
3697165,21-21
3697165,44-44
3697165,45-45
3697165,46-46
3697165,47-47
3697165,71-71
3697165,72-72
3698382,21-21
3698382,44-44
3698382,45-45
3698382,46-46
3698382,47-47
3698382,71-71
3698382,72-72
3698734,21-21
3698734,44-44
3698734,45-45
3698734,46-46
3698734,47-47
3698734,71-71
3698734,72-72
3753999,21-21
3753999,44-44
3753999,45-45
3753999,46-46
3753999,47-47
3753999,71-71
3753999,72-72
3756603,21-21
3763290,54-54
3784444,8-8
3784444,9-9
3811238,3-3
3811238,70-70
3815360,3-3
3815360,30-30
3816260,30-30
3816260,3-3
3816260,42-42
3816260,43-43
3816260,70-70
3816966,30-30
3816966,3-3
3837033,30-30
3837033,3-3
3837033,42-42
3837033,43-43
3837741,30-30
3837741,3-3
3840990,62-62
3892978,3-3
3892978,30-30
3894266,3-3
3894266,42-42
3894266,43-43
3894266,70-70
3894266,30-30
3896759,22-22
3896759,49-49
3907438,21-21
3921749,30-30
3921749,3-3
3921749,42-42
3921749,43-43
3921749,70-70
3926262,12-12
3926262,39-39
3941985,21-21
3941985,45-45
3941985,46-46
3941985,48-48
3965274,30-30
3965274,3-3
3988159,3-3
3988159,30-30
3989106,30-30
3989106,3-3
3989106,42-42
3989106,43-43
3989106,70-70
4009794,5-5
4009794,32-32
4030617,39-39
4030617,66-66
4040541,39-39
4040541,66-66
4068716,5-5
4068716,32-32
4070275,5-5
